Wall time,Step,Value
1735841921.5085638,60,2.1494998931884766
1735842013.3096287,190,1.9155999422073364
1735842055.5611527,250,1.631100058555603
1735842163.5785513,410,1.774399995803833
1735842182.788778,430,1.5204999446868896
1735842205.8385885,460,1.7375999689102173
1735842270.5179274,540,1.700600028038025
1735842295.739565,570,1.5773999691009521
1735842399.2069194,720,1.5288000106811523
1735842421.2432196,750,1.6497999429702759
1735842884.90722,950,1.523800015449524
1735842948.489624,1030,1.5434000492095947
1735842983.023465,1070,1.2812000513076782
1735843129.8926528,1270,1.2211999893188477
1735843218.8354876,1400,1.519700050354004
1735843326.9078417,1560,1.4620000123977661
1735843346.7483582,1590,1.547700047492981
1735843409.0143595,1680,1.4180999994277954
1735843915.950943,1790,1.6136000156402588
1735843956.4759767,1840,1.2129000425338745
1735843967.4502652,1860,1.621899962425232
1735844007.2557595,1910,1.5313999652862549
1735844286.0002124,2300,1.429900050163269
1735844326.108538,2350,1.4351999759674072
1735844422.2052372,2500,1.2783000469207764
1735844465.5767493,2560,1.5046000480651855
1735844882.3503094,2610,1.3360999822616577
1735844927.7468,2680,1.4874999523162842
1735844970.4737804,2740,1.6079000234603882
1735845107.3536801,2930,1.1857999563217163
1735845212.8224778,3090,1.440500020980835
1735845224.216778,3110,1.3212000131607056
1735845285.145251,3190,1.2360999584197998
1735845379.8632047,3310,1.1679999828338623
1735845445.722715,3400,1.326799988746643
1735845853.308665,3480,1.3272000551223755
1735845964.4000335,3640,1.4666999578475952
1735845997.0595307,3680,1.045799970626831
1735846372.615447,4220,1.2639000415802002
1735846381.8976536,4230,1.1603000164031982
1735846837.995738,4400,1.1994999647140503
1735846858.2464287,4430,1.1933000087738037
1735846875.2917125,4460,1.3331999778747559
1735846986.084517,4610,1.354599952697754
1735847005.265384,4640,1.3315999507904053
1735847012.6430469,4650,1.239400029182434
1735847087.409855,4750,1.0598000288009644
1735847216.2690384,4920,1.1292999982833862
1735847235.1789298,4940,1.1643999814987183
1735847745.0844252,5150,1.1885000467300415
1735847875.0184639,5320,1.228700041770935
1735847915.611912,5370,1.2304999828338623
1735848130.1545515,5640,1.333400011062622
1735848214.7614012,5740,1.1923999786376953
1735848264.226447,5800,1.0542000532150269
1735848279.6124327,5820,1.1445000171661377
1735848316.9566908,5870,1.1706000566482544
1735848324.2104437,5880,1.1282999515533447
1735848798.549475,6030,1.1079000234603882
1735848940.9436939,6210,1.2883000373840332
1735848957.9488347,6230,1.1375000476837158
1735849053.816223,6350,1.179800033569336
1735849107.8563151,6420,1.2226999998092651
1735849117.1332176,6430,1.042199969291687
1735849130.6861327,6450,1.1440000534057617
1735849154.440784,6480,1.1021000146865845
1735849167.9839208,6500,1.2640999555587769
1735849259.0407732,6620,1.1678999662399292
1735849329.8809004,6720,1.149899959564209
1735849437.6244245,6840,1.0506000518798828
1735849844.062699,6890,1.0773999691009521
1735850047.907749,7150,1.0180000066757202
1735850077.2530441,7190,1.1943999528884888
1735850112.404967,7230,1.191499948501587
1735850124.384129,7240,1.083899974822998
1735850178.2672482,7310,1.1247999668121338
1735850252.8435287,7400,1.0382000207901
1735850281.0654361,7440,1.225600004196167
1735850310.7706406,7480,1.0786000490188599
1735850352.9565413,7530,1.142699956893921
1735850391.6374657,7570,1.0772000551223755
1735850462.777863,7660,0.9140999913215637
1735850490.0627048,7700,1.1086000204086304
1735850881.1422267,7720,1.3079999685287476
1735850897.2173731,7740,1.2702000141143799
1735850947.217114,7810,1.2657999992370605
1735850991.3606296,7860,1.0288000106811523
1735851011.504589,7880,1.0621000528335571
1735851051.405307,7930,1.1765999794006348
1735851065.2436452,7950,1.1061999797821045
1735851093.9366007,7990,1.027999997138977
1735851127.487479,8030,1.1722999811172485
1735851180.9230323,8090,1.055400013923645
1735851188.1553862,8100,1.1575000286102295
1735851376.885436,8330,1.0640000104904175
1735851405.7078958,8370,1.190000057220459
1735852040.3022914,8700,1.1900999546051025
1735852092.4755735,8770,0.9912999868392944
1735852146.679659,8830,1.1266000270843506
1735852262.1863377,8970,1.054900050163269
1735852296.9080763,9010,1.0870000123977661
1735852351.1926827,9080,0.987500011920929
1735852363.9233823,9100,1.0819000005722046
1735852404.0226185,9160,1.079800009727478
1735852419.5399723,9180,1.0353000164031982
1735852518.7104087,9320,1.0979000329971313
1735852528.0096154,9330,0.8720999956130981
1735852956.3757756,9430,1.0987999439239502
1735853058.2148788,9010,1.0870000123977661
1735853120.3864105,9100,1.0819000005722046
1735853144.5433762,9140,0.9693999886512756
1735853170.9523497,9180,1.0353000164031982
1735853226.9946783,9270,1.2735999822616577
1735853233.3970542,9280,1.0277999639511108
1735853273.569181,9340,0.9162999987602234
1735853280.1586726,9350,1.0467000007629395
1735853311.9010074,9400,1.1354000568389893
1735853770.041915,9580,1.0751999616622925
1735853791.9716537,9610,1.1089999675750732
1735853853.4435375,9700,1.0428999662399292
1735854073.4961336,10000,1.0403000116348267
1735854167.9483247,10130,1.066100001335144
1735854209.1529257,10190,1.073199987411499
1735854235.2278612,10220,0.939300000667572
1735854249.6874,10240,1.0842000246047974
1735854286.4797525,10280,1.0462000370025635
1735854639.4392092,10340,0.9721999764442444
1735854673.6767561,10390,0.9409999847412109
1735854753.7085657,10490,0.9927999973297119
1735854800.5769134,10550,0.9265000224113464
1735854837.008197,10600,1.104599952697754
1735854911.5071108,10700,1.0503000020980835
1735854947.2799952,10750,1.0283000469207764
1735855229.089389,11120,1.0651999711990356
1735855566.2262785,11160,1.094099998474121
1735855572.2537324,11170,0.9957000017166138
1735855577.8549566,11180,1.085800051689148
1735855709.8932238,11360,1.0858999490737915
1735855811.939885,11480,1.0332000255584717
1735855827.3971434,11490,0.8119999766349792
1735855874.2505572,11550,0.9887999892234802
1735855933.6889706,11620,0.8845999836921692
1735856119.0579987,11880,0.9409000277519226
1735856526.5411806,12000,1.042199969291687
1735856603.370117,12110,1.020400047302246
1735856637.1466656,12140,0.8235999941825867
1735856656.1847095,12170,1.0263999700546265
1735856814.5724425,12370,1.0427000522613525
1735856874.6576054,12430,0.8794999718666077
1735856930.0697036,12500,1.1013000011444092
1735856970.0338228,12560,1.0264999866485596
1735857101.3233798,12720,1.0168999433517456
1735857121.8842914,12750,1.0166000127792358
1735857537.1300695,12860,1.0641000270843506
1735857563.8191898,12890,1.0599000453948975
1735857583.220285,12920,1.048699975013733
1735857593.088975,12930,0.9089999794960022
1735857973.6079946,13410,1.076300024986267
1735857998.633389,13440,0.8738999962806702
1735858027.1046636,13470,0.9573000073432922
1735858032.488707,13480,1.0268000364303589
1735858198.7428696,13700,0.8345000147819519
1735858609.078784,13820,1.0419000387191772
1735858622.4138725,13840,0.970300018787384
1735858659.942134,13880,0.9060999751091003
1735858690.3662379,13920,1.0211999416351318
1735858725.1037834,13960,0.9000999927520752
1735858929.1051178,14210,0.8636999726295471
1735858941.0210738,14220,0.8589000105857849
1735859032.6689014,14330,0.9009000062942505
1735859088.5362127,14410,1.0413999557495117
1735859120.414447,14450,0.8648999929428101
1735859135.1957471,14470,1.0867999792099
1735859601.967139,14640,0.9473999738693237
1735859723.259515,14790,1.0618000030517578
1735859753.753897,14830,1.0378999710083008
1735859956.1036658,15080,0.8633000254631042
1735860068.761226,15240,0.9782999753952026
1735860079.05557,15250,0.9757999777793884
1735860194.6693907,15400,0.9363999962806702
1735860564.9629679,15440,0.9819999933242798
1735860682.404472,15600,1.010599970817566
1735860688.332257,15610,1.0033999681472778
1735860784.2262123,15740,1.0508999824523926
1735860849.9777477,15830,0.9354000091552734
1735860892.1039002,15880,0.9326000213623047
1735860935.9565458,15930,0.9197999835014343
1735860955.9938517,15960,0.9516000151634216
1735860998.741317,16010,0.9520000219345093
1735861023.9052458,16040,0.859000027179718
1735861127.8747694,16160,1.0501999855041504
1735861183.2562513,16240,0.9977999925613403
1735861575.7621317,16310,0.8230999708175659
1735861626.0237906,16380,0.8971999883651733
1735861692.3522043,16470,1.1785999536514282
1735861716.4935696,16510,0.9459999799728394
1735861728.793854,16530,0.9692999720573425
1735861743.953479,16550,0.8899999856948853
1735861761.354678,16580,0.8205000162124634
1735861823.380791,16650,0.9211999773979187
1735861905.5510292,16740,0.9632999897003174
1735861974.9326615,16840,1.0463999509811401
1735862015.9608092,16880,0.9294999837875366
1735862031.362918,16900,0.8794999718666077
1735862051.158305,16930,1.0643999576568604
1735862089.3794432,16980,0.9333999752998352
1735862115.3633237,17010,0.8769000172615051
1735862124.4802577,17020,0.8672999739646912
1735862130.0528283,17030,1.006500005722046
1735862590.6226544,17220,0.8592000007629395
1735862658.8271215,17310,0.9998000264167786
1735862704.768427,17370,0.9174000024795532
1735862764.5080051,17440,0.892799973487854
1735862770.9606442,17450,0.8364999890327454
1735862833.2660756,17540,0.8956000208854675
1735862883.9922826,17610,0.8694999814033508
1735863064.076422,17820,0.845300018787384
1735863094.9891407,17860,0.9940000176429749
1735863161.8925714,17960,0.9890000224113464
1735863498.0560198,18000,1.072100043296814
1735863558.9865637,18090,0.8781999945640564
1735863669.8986862,18220,1.0216000080108643
1735863698.3258784,18250,0.8299000263214111
1735863755.9896138,18310,0.9643999934196472
1735863768.6437037,18330,0.9028000235557556
1735864030.079706,18670,0.8093000054359436
1735864073.2462442,18730,0.9581000208854675
1735864496.1353729,18900,0.8823000192642212
1735864507.580112,18920,0.8921999931335449
1735864565.4990494,19000,0.9330000281333923
1735864583.4912345,19030,0.8420000076293945
1735864597.3089118,19050,0.9348999857902527
1735864742.1372256,19230,0.9132999777793884
1735864853.58846,19370,0.8870000243186951
1735864867.553261,19390,1.0789999961853027
1735865005.4705665,19570,0.9498000144958496
1735865034.7486835,19610,0.9869999885559082
1735865099.6504517,19690,1.0357999801635742
1735865549.25339,19860,0.7657999992370605
1735865598.1977732,19920,0.8258000016212463
1735865770.670686,20160,0.8152999877929688
1735865856.2409813,20280,0.8407999873161316
1735865864.501205,20290,0.95169997215271
1735865887.4418635,20320,0.9706000089645386
1735865892.7114272,20330,1.0343999862670898
1735865905.7234657,20350,0.98089998960495
1735865923.0658736,20370,0.9056000113487244
1735865953.7535636,20410,0.8436999917030334
1735865984.1679733,20450,0.8118000030517578
1735866046.3643434,20520,0.7483000159263611
1735866467.2875965,20670,0.741100013256073
1735866717.8528762,21010,0.9939000010490417
1735866746.9004304,21050,0.8669000267982483
1735866762.7979078,21070,0.9902999997138977
1735866799.7773707,21120,0.8738999962806702
1735866872.448734,21210,0.771399974822998
1735866969.5102372,21330,0.819100022315979
1735867351.1482208,21430,0.9521999955177307
1735867377.964066,21450,0.7886999845504761
1735867391.6939607,21470,0.8720999956130981
1735867400.3533041,21480,0.9717000126838684
1735867431.4538686,21520,0.9225000143051147
