Wall time,Step,Value
1735842013.3096287,190,1.9155999422073364
1735842182.788778,430,1.5204999446868896
1735842205.8385885,460,1.7375999689102173
1735842295.739565,570,1.5773999691009521
1735842399.2069194,720,1.5288000106811523
1735842421.2432196,750,1.6497999429702759
1735842884.90722,950,1.523800015449524
1735843326.9078417,1560,1.4620000123977661
1735843346.7483582,1590,1.547700047492981
1735843409.0143595,1680,1.4180999994277954
1735844286.0002124,2300,1.429900050163269
1735844326.108538,2350,1.4351999759674072
1735844465.5767493,2560,1.5046000480651855
1735844882.3503094,2610,1.3360999822616577
1735844927.7468,2680,1.4874999523162842
1735844970.4737804,2740,1.6079000234603882
1735845212.8224778,3090,1.440500020980835
1735845224.216778,3110,1.3212000131607056
1735845285.145251,3190,1.2360999584197998
1735845853.308665,3480,1.3272000551223755
1735845997.0595307,3680,1.045799970626831
1735846372.615447,4220,1.2639000415802002
1735846381.8976536,4230,1.1603000164031982
1735846858.2464287,4430,1.1933000087738037
1735846986.084517,4610,1.354599952697754
1735847005.265384,4640,1.3315999507904053
1735847012.6430469,4650,1.239400029182434
1735847087.409855,4750,1.0598000288009644
1735847915.611912,5370,1.2304999828338623
1735848130.1545515,5640,1.333400011062622
1735848264.226447,5800,1.0542000532150269
1735848316.9566908,5870,1.1706000566482544
1735848324.2104437,5880,1.1282999515533447
1735848940.9436939,6210,1.2883000373840332
1735849053.816223,6350,1.179800033569336
1735849117.1332176,6430,1.042199969291687
1735849154.440784,6480,1.1021000146865845
1735849167.9839208,6500,1.2640999555587769
1735849259.0407732,6620,1.1678999662399292
1735849329.8809004,6720,1.149899959564209
1735850047.907749,7150,1.0180000066757202
1735850112.404967,7230,1.191499948501587
1735850178.2672482,7310,1.1247999668121338
1735850391.6374657,7570,1.0772000551223755
1735850462.777863,7660,0.9140999913215637
1735850490.0627048,7700,1.1086000204086304
1735850881.1422267,7720,1.3079999685287476
1735850991.3606296,7860,1.0288000106811523
1735851011.504589,7880,1.0621000528335571
1735851051.405307,7930,1.1765999794006348
1735851065.2436452,7950,1.1061999797821045
1735851127.487479,8030,1.1722999811172485
1735851180.9230323,8090,1.055400013923645
1735851188.1553862,8100,1.1575000286102295
1735851405.7078958,8370,1.190000057220459
1735852363.9233823,9100,1.0819000005722046
1735852956.3757756,9430,1.0987999439239502
1735853058.2148788,9010,1.0870000123977661
1735853170.9523497,9180,1.0353000164031982
